Date;Producto ;Cantidad;Cantidad_prom;Precio;Total_Venta;Kilometraje
30/09/2019;Diesel;3541,79;15,70;8969,59;31640723,00;104943,18
01/10/2019;Diesel;197,21;19,72;9037,31;1785352,00;166133,20
02/10/2019;Diesel;15,89;15,89;8440,00;134145,31;
03/10/2019;Diesel;12,27;12,27;8395,02;102973,37;
04/10/2019;Diesel;3,86;3,86;8739,98;33753,79;
05/10/2019;Diesel;8,14;8,14;8448,97;68757,75;
06/10/2019;Diesel;6,02;6,02;8280,00;49878,74;
07/10/2019;Diesel;4,95;4,95;8449,00;41788,76;
08/10/2019;Diesel;29,39;29,39;8799,99;258666,86;
09/10/2019;Diesel;9,56;9,56;8469,97;80930,54;
10/10/2019;Diesel;14,20;14,20;8119,97;115303,63;
11/10/2019;Diesel;14,61;14,61;8469,99;123772,02;
12/10/2019;Diesel;13,51;13,51;8690,03;117393,64;
13/10/2019;Diesel;19,85;19,85;8395,00;166674,31;
14/10/2019;Diesel;8,39;8,39;8395,04;70459,58;
15/10/2019;Diesel;10,40;10,40;8640,01;89882,06;
16/10/2019;Diesel;3,38;3,38;8395,02;28349,97;
17/10/2019;Diesel;8,07;8,07;8639,97;69750,48;
18/10/2019;Diesel;37,00;37,00;8470,04;313391,51;
19/10/2019;Diesel;5,16;5,16;8800,00;45364,00;
20/10/2019;Diesel;19,55;19,55;8395,02;164114,22;
21/10/2019;Diesel;11,67;11,67;8394,98;97969,47;
22/10/2019;Diesel;8,82;8,82;8717,98;76883,91;
23/10/2019;Diesel;7,10;7,10;8449,02;59962,66;
24/10/2019;Diesel;15,53;15,53;8280,03;128547,51;
25/10/2019;Diesel;6,52;6,52;8739,99;57010,95;
26/10/2019;Diesel;14,14;14,14;9394,99;132873,28;
27/10/2019;Diesel;6,60;6,60;8850,00;58418,85;
28/10/2019;Diesel;4,70;4,70;8280,00;38949,14;
29/10/2019;Diesel;9,58;9,58;8480,04;81204,87;
30/10/2019;Diesel;14,02;14,02;8490,01;119012,93;
31/10/2019;Diesel;15,45;15,45;8120,00;125413,40;
01/11/2019;Diesel;13,00;13,00;8739,99;113593,59;
02/11/2019;Diesel;11,56;11,56;8740,00;100990,72;
03/11/2019;Diesel;7,84;7,84;8740,01;68478,01;
04/11/2019;Diesel;4,38;4,38;8510,00;37265,30;
05/11/2019;Diesel;12,42;12,42;8800,01;109296,18;
06/11/2019;Diesel;29,15;29,15;8640,02;251865,12;
07/11/2019;Diesel;11,30;11,30;8280,00;93597,09;
08/11/2019;Diesel;18,25;18,25;8717,99;159077,13;
09/11/2019;Diesel;9,97;9,97;8569,99;85468,46;
10/11/2019;Diesel;26,27;26,27;8759,98;230107,10;
11/11/2019;Diesel;5,40;5,40;8930,12;48222,62;
12/11/2019;Diesel;14,62;14,62;8395,02;122693,22;
13/11/2019;Diesel;7,62;7,62;8440,00;64312,80;
14/11/2019;Diesel;6,40;6,40;8589,91;55009,80;
15/11/2019;Diesel;10,72;10,72;8440,02;90510,80;
16/11/2019;Diesel;4,96;4,96;8404,97;41697,06;
17/11/2019;Diesel;7,12;7,12;8649,96;61613,67;
18/11/2019;Diesel;8,06;8,06;8740,03;70444,65;
19/11/2019;Diesel;16,90;16,90;8405,02;142044,91;
20/11/2019;Diesel;5,64;5,64;8395,06;47364,95;
21/11/2019;Diesel;15,99;15,99;8440,01;134947,25;
22/11/2019;Diesel;23,71;23,71;8650,05;205066,81;
23/11/2019;Diesel;10,53;10,53;9394,98;98938,57;
24/11/2019;Diesel;14,22;14,22;8439,95;119999,27;
25/11/2019;Diesel;19,21;19,21;8739,98;167860,00;
26/11/2019;Diesel;25,39;25,39;8570,02;217584,31;
27/11/2019;Diesel;22,55;22,55;8440,02;190322,56;
28/11/2019;Diesel;17,34;17,34;8740,03;151543,31;
29/11/2019;Diesel;15,07;15,07;9395,02;141554,80;
30/11/2019;Diesel;14,00;14,00;8580,04;120146,32;
01/12/2019;Diesel;8,12;8,12;8280,03;67192,46;
02/12/2019;Diesel;15,21;15,21;8439,98;128355,29;
03/12/2019;Diesel;18,68;18,68;8740,00;163228,31;
04/12/2019;Diesel;7,26;7,26;8279,99;60112,74;
05/12/2019;Diesel;17,83;17,83;8649,95;154263,30;
06/12/2019;Diesel;6,86;6,86;8440,00;57923,74;
07/12/2019;Diesel;12,30;12,30;8470,00;104172,53;
08/12/2019;Diesel;10,31;10,31;8440,03;87050,44;
09/12/2019;Diesel;8,17;8,17;8580,05;70099,03;
10/12/2019;Diesel;6,91;6,91;8395,07;57976,32;
11/12/2019;Diesel;12,52;12,52;8280,03;103682,49;
12/12/2019;Diesel;13,48;13,48;8579,92;115640,21;
13/12/2019;Diesel;19,30;19,30;8279,94;159802,81;
14/12/2019;Diesel;12,30;12,30;8580,02;105491,41;
15/12/2019;Diesel;19,03;19,03;8550,00;162706,50;
16/12/2019;Diesel;7,30;7,30;9395,07;68574,64;
17/12/2019;Diesel;27,08;27,08;8449,00;228798,82;
18/12/2019;Diesel;10,11;10,11;8394,87;84846,98;
19/12/2019;Diesel;9,95;9,95;8600,02;85527,24;
20/12/2019;Diesel;13,31;13,31;8580,01;114199,98;
21/12/2019;Diesel;13,55;13,55;8930,04;121002,10;
22/12/2019;Diesel;20,55;20,55;8439,99;173399,55;
23/12/2019;Diesel;11,23;11,23;8160,02;91612,55;
24/12/2019;Diesel;17,85;17,85;8440,00;150662,44;
25/12/2019;Diesel;19,60;19,60;8448,98;165566,29;
26/12/2019;Diesel;14,09;14,09;8440,00;118928,08;
27/12/2019;Diesel;19,44;19,44;8440,01;164048,51;
28/12/2019;Diesel;13,74;13,74;8490,05;116678,77;
29/12/2019;Diesel;13,04;13,04;8439,97;110074,08;
30/12/2019;Diesel;11,58;11,58;8439,98;97743,38;
31/12/2019;Diesel;7,29;7,29;8804,99;64197,18;
02/01/2020;Diesel;2648,00;15,22;9026,83;23827187,00;114077,37
03/01/2020;Diesel;3866,19;15,65;9028,68;34819563,00;125190,53
04/01/2020;Diesel;3271,00;13,98;9052,12;29529097,00;114423,53
05/01/2020;Diesel;508,50;16,40;8828,45;4586558,00;113344,52
06/01/2020;Diesel;1074,33;13,95;9007,66;9655419,00;98996,99
07/01/2020;Diesel;3392,75;14,82;9026,28;30543272,00;121508,76
08/01/2020;Diesel;3295,70;15,26;9010,61;29618100,13;127901,91
09/01/2020;Diesel;3922,04;16,41;9018,27;35402932,00;121011,09
10/01/2020;Diesel;3388,02;15,61;9056,77;30635234,00;137078,75
11/01/2020;Diesel;3078,70;13,81;9078,79;27962123,00;120882,81
12/01/2020;Diesel;270,03;24,55;8930,36;2423208,00;119998,09
13/01/2020;Diesel;3461,31;15,95;9032,74;31233970,00;123664,48
14/01/2020;Diesel;3149,03;14,18;9046,39;28458790,00;151726,98
15/01/2020;Diesel;3382,03;14,96;9055,46;30641676,00;138876,48
16/01/2020;Diesel;3464,87;15,00;8992,37;31161430,00;123064,92
17/01/2020;Diesel;3265,48;14,98;9083,23;29681450,00;114366,11
18/01/2020;Diesel;3139,22;15,02;9136,37;28678436,00;133317,37
19/01/2020;Diesel;246,15;20,51;9026,33;2224640,00;152842,58
20/01/2020;Diesel;3381,61;15,73;9168,61;30998545,00;122812,58
21/01/2020;Diesel;3131,05;14,56;9119,64;28491454,00;131293,47
22/01/2020;Diesel;3540,65;15,74;9063,40;32086882,00;123761,90
23/01/2020;Diesel;3363,90;15,36;9044,66;30521242,00;133702,97
24/01/2020;Diesel;3326,14;15,47;9076,18;30148119,00;150366,73
25/01/2020;Diesel;3265,01;15,12;9150,02;29874369,00;127087,50
26/01/2020;Diesel;303,65;20,24;9128,06;2782589,00;145126,87
27/01/2020;Diesel;2915,41;14,22;9176,20;26758276,00;124725,37
28/01/2020;Diesel;3354,11;15,11;9148,70;30697514,00;134860,29
29/01/2020;Diesel;3376,46;15,85;9151,18;30888187,00;131589,88
30/01/2020;Diesel;3198,47;14,60;9149,32;29240866,00;120044,32
31/01/2020;Diesel;3463,91;15,60;9174,02;31795900,00;122809,60
01/02/2020;Diesel;3508,68;15,53;9100,60;31902357,00;110862,35
02/02/2020;Diesel;242,07;22,01;8827,54;2128808,00;123251,55
03/02/2020;Diesel;3107,60;15,16;9039,11;28135217,00;119708,60
04/02/2020;Diesel;3911,28;15,52;9061,49;35382494,00;125613,86
05/02/2020;Diesel;3227,85;15,01;9000,83;29031008,00;111964,59
06/02/2020;Diesel;3242,26;14,67;9005,06;29204164,00;153985,95
07/02/2020;Diesel;3521,10;16,08;9029,43;31839777,00;147778,24
08/02/2020;Diesel;3321,95;14,63;9049,07;30067753,00;116927,20
09/02/2020;Diesel;430,62;22,66;9055,42;3881249,00;143566,47
10/02/2020;Diesel;2987,76;14,57;9019,05;26900901,00;138508,07
11/02/2020;Diesel;3207,46;14,45;9052,45;29021702,00;122393,70
12/02/2020;Diesel;3433,20;15,33;9019,93;30958057,00;118118,55
13/02/2020;Diesel;3598,57;15,71;8977,45;32315061,00;130741,08
14/02/2020;Diesel;3367,71;16,27;9042,86;30454165,00;121972,24
15/02/2020;Diesel;2998,01;13,69;9009,42;27035379,00;122730,08
16/02/2020;Diesel;410,85;22,82;9058,89;3745000,00;118511,39
17/02/2020;Diesel;3014,22;14,56;8997,41;27076270,00;132573,40
18/02/2020;Diesel;2840,37;13,59;9050,28;25724161,00;138663,44
19/02/2020;Diesel;3618,79;16,01;9035,49;32721823,00;116732,04
20/02/2020;Diesel;3350,70;14,96;8989,20;30050854,00;126225,37
21/02/2020;Diesel;3421,25;15,69;9071,15;30981309,00;120250,45
22/02/2020;Diesel;3081,53;14,47;9050,25;27956424,00;125188,28
23/02/2020;Diesel;254,92;23,17;9010,08;2346547,00;240583,73
24/02/2020;Diesel;2924,90;13,93;9009,21;26289412,00;144041,44
25/02/2020;Diesel;3123,55;15,09;9154,89;28531111,00;154362,97
26/02/2020;Diesel;3004,09;13,97;9139,71;27455511,00;119876,34
27/02/2020;Diesel;3596,78;15,18;9101,88;32572770,00;124669,14
28/02/2020;Diesel;3363,10;15,36;9122,03;30613663,00;132385,31
29/02/2020;Diesel;3572,42;14,89;9143,41;32616092,00;125197,65
01/03/2020;Diesel;273,19;24,84;9042,37;2476291,00;159762,00
02/03/2020;Diesel;3136,42;14,39;9023,54;28296819,00;133399,32
03/03/2020;Diesel;3364,04;14,19;9045,71;30366248,00;131931,09
04/03/2020;Diesel;2817,90;13,42;9015,57;25390296,00;122203,18
05/03/2020;Diesel;3746,77;15,55;8958,04;33465071,82;124901,61
06/03/2020;Diesel;3359,20;15,00;9016,37;30275572,00;119726,49
07/03/2020;Diesel;3627,23;15,77;9027,00;32691066,00;134447,38
08/03/2020;Diesel;377,50;34,32;8954,91;3368248,00;148746,64
09/03/2020;Diesel;2941,54;13,02;8968,22;26327489,00;120174,71
10/03/2020;Diesel;3294,89;14,98;8993,25;29616508,00;139074,54
11/03/2020;Diesel;3291,43;15,31;8946,10;29425198,00;127584,97
12/03/2020;Diesel;3472,45;14,17;8863,50;30787374,00;160899,08
13/03/2020;Diesel;3152,80;14,33;8900,04;28025596,00;132431,72
14/03/2020;Diesel;3293,32;14,44;8905,36;29325653,00;119360,31
15/03/2020;Diesel;343,75;31,25;8719,72;3009509,00;151193,27
16/03/2020;Diesel;2962,56;13,91;8902,23;26428002,00;127102,31
17/03/2020;Diesel;3439,10;15,35;8912,89;30647817,00;131487,05
18/03/2020;Diesel;2948,26;13,59;8909,19;26230554,00;121198,01
19/03/2020;Diesel;4038,09;16,02;8895,11;35968588,00;126155,25
20/03/2020;Diesel;3184,70;14,81;8906,83;28284983,00;136924,07
21/03/2020;Diesel;3288,86;15,51;8296,63;27244114,00;127576,46
22/03/2020;Diesel;81,96;20,49;8481,75;697609,00;177273,75
23/03/2020;Diesel;334,20;14,53;8008,44;2638203,00;126024,00
24/03/2020;Diesel;3032,77;14,04;8226,73;24951522,00;131958,44
25/03/2020;Diesel;2796,19;13,84;8228,47;22939189,00;122387,14
26/03/2020;Diesel;2781,96;13,98;8199,65;22738348,00;145256,34
27/03/2020;Diesel;2865,54;14,77;8216,54;23511331,00;151244,02
28/03/2020;Diesel;2084,80;12,48;8217,66;17107235,00;146492,72
29/03/2020;Diesel;430,32;26,90;7949,19;3487418,00;203126,00
30/03/2020;Diesel;2642,51;14,36;8200,34;21605172,00;154992,06
31/03/2020;Diesel;2677,37;13,94;8215,82;21946226,00;147058,70
01/04/2020;Diesel;2963,94;14,67;8187,10;24219567,00;124734,09
02/04/2020;Diesel;3125,66;14,67;8174,02;25469181,00;134025,45
03/04/2020;Diesel;2800,94;14,22;8196,67;22921016,00;166414,97
04/04/2020;Diesel;3029,96;14,85;8193,65;24836382,00;125179,71
05/04/2020;Diesel;408,96;24,06;7981,23;3285891,00;146863,94
06/04/2020;Diesel;2896,00;14,48;8177,33;23663899,00;164791,31
